"",11/26/2008,11/24/2008
150,,
050,,
950,11/29/2008,1M1a/i2z6e/ G20ra0i8n ‐ Retail
850,,
"",,Maize Grain ‐Wholesale
750,,11/29/2008
650,12/1/2008,Millet Grain ‐ Retail
550,,M1i2ll/e1t/ G2r0a0i8n ‐Wholesale
450,,
"",12/3/2008,
Table 1: Chicken price by region,,,,,,,,
Commodity,Type,Central,,Eastern,,Northern,,Western
"",,Wholesale,280,300,700,250,400,520,270,150,300,150,550,400,500,,160,200,100,700,349
Tea (Unprocessed),Kg,Retail,,,,,400,,,,,,,,,,,,,,400
"",,Wholesale,,,,,350,,,,,,,,,,,,,,350
Turkey (Bird),bird,Retail,,"26,000",,"40,000",,"26,000","30,000",,"30,000","35,000",,"24,500","25,000",,,,,,"29,563"
"",,Wholesale,,"21,000",,"35,000",,"23,000","28,000",,"20,000","30,000",,"22,500","20,000",,,,,,"24,938"
Upland Rice,Kg,Retail,"1,600","1,800","2,000",,"1,600","1,700","1,500",,,,"2,000","1,700","1,800","1,600","1,800","1,800","1,800","2,000","1,764"
"",,Wholesale,"1,500","1,600","1,800",,"1,400","1,300","1,400",,,,"1,600","1,500","1,700","1,320","1,700","1,750","1,700","1,800","1,576"
Vanilla (Unprocessed),Kg,Retail,,"1,800",,,"2,500",,,,,,,,,,,,,,"2,150"
"",,,Wholesale,"2,800","3,000",,"2,400","1,800","2,000","1,300",,"2,700","1,900","1,700","2,100","1,800",,,"2,000",,"1,800","2,100"
"",Sorghum Flour,Kg,Retail,"1,200",,,"1,000","1,000","1,000",800,700,700,650,"1,500",900,700,,"1,100","1,300",900,"1,300",983
"",,,Wholesale,900,,,700,800,900,700,500,600,500,"1,400",800,700,,850,"1,200",800,"1,200",837
"",Sorghum Grain,Kg,Retail,"1,200",700,,800,730,800,800,,600,600,800,800,700,,"1,000","1,100",800,"1,000",829
"",,,Wholesale,900,500,,500,670,700,700,,400,450,700,650,700,,650,"1,100",750,700,671
"",Soya Beans,Kg,Retail,"2,500","1,500","1,500","1,400","1,100","1,200","1,500","1,500","1,700","1,300","1,500","1,400","1,000","1,200","1,700","2,000","1,600",,"1,506"
