"Page1Date Collected",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16‐Mar,Retail,789,600,5371,5580,5590,1243,748,1217,4574,,,,,,,,,,,,,,,,,,
"",Wholesale,,64,,,45,,,471,,,474,,,497,,,108,,,88,,,101,,,434,
18‐Mar,Retail,808,588,5787,5321,5670,1253,792,1428,4929,,,,,,,,,,,,,,,,,,
"",Wholesale,,67,,,44,,,483,,,460,,,476,,,109,,,67,,,106,,,433,
"Page1Date Collected"
Date Collected
""
""
"",,,CENTRAL,EASTERN,NORTHERN,WESTERN,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,Min,Avg,Max
"",,Wholesale,700,500,500,400,700,700,700,600,700,800,700,800,800,1000,600,400,700,500,400,400,642,1000
illet Flour,Kg,Retail,1200,1600,1000,1500,2000,1900,2000,1400,1500,1500,1500,1600,950,1500,2000,1500,1400,1200,800,800,1476,2000
"",,Wholesale,900,1400,850,1300,1500,1500,1600,1100,1300,1200,1400,1500,850,1400,,1200,1350,1100,700,700,1231,1600
illet Grain,Kg,Retail,1200,1200,900,,1400,1100,950,550,1100,1000,900,1000,900,600,1000,1200,1300,1100,1200,550,1033,1400
"",,Wholesale,900,800,650,,1300,1000,920,500,1000,900,850,900,800,500,800,950,1200,1000,1000,500,887,1300
ineapple,whole,Retail,1000,1200,1000,900,1800,1000,1200,1800,2400,2000,1500,2400,1700,2500,,500,1000,800,1000,500,1428,2500
"",,Wholesale,800,1200,800,700,1500,700,800,1000,2000,1500,1400,,1500,2000,,350,800,500,500,350,1062,2000
ork,Kg,Retail,5000,4000,4000,4000,,5000,5000,,6000,4000,4000,5000,4500,6000,5000,4800,5000,5000,7500,4000,4929,7500
"",,Wholesale,4500,2800,3800,3500,,3500,4200,,5000,4000,3800,5000,4200,5000,,3800,4800,4500,7000,2800,4338,7000
ice (Kayiso),Kg,Retail,1900,2250,1800,2400,2000,2000,2000,1850,2000,2000,2000,2000,1650,22L0u0,ero,2500,,2800,2500,1650,2109,2800
"",,Wholesale,1800,2050,1600,2000,1800,1800,1800,1700,1850,1700,1800,1800,1620,2000,,,,2500,2250,1600,1879,2500
ice (Super),Kg,Retail,2400,2450,2500,1800,2500,2500,2300,2100,2400,2200,2200,2200,2000,2200,2200,2500,2200,2200,2200,1800,2266,2500
"",,Wholesale,2200,2300,1950,1600,2200,2300,2100,1900,2300,2000,2000,1900,1900,2000,,2200,2100,2000,1800,1600,2042,2300
ice (Upland),Kg,Retail,1800,2200,1700,2000,2500,2000,2000,1700,2000,,,2000,1550,2000,1800,2000,1530,2000,2000,1530,1928,2500
"",,,,,,,,,,,,,,,,,,,,,,,,
imsim,Kg,Retail,3000,3000,3000,,5000,3000,2500,1800,2200,3000,2500,2000,2000,18N00a,a2s0e0ro0,4000,2100,,2300,1800,2659,5000
"",,Wholesale,2800,2500,2500,,4000,2500,1800,1650,2000,2500,2300,1700,1900,1800,1500,3200,2000,,2000,1500,2274,4000
orghum Flour,Kg,Retail,1000,,1800,,2000,1000,900,900,800,1000,700,1500,850,400,,1000,1400,800,1100,400,1072,2000
"",,Wholesale,700,,1600,,1800,700,750,700,700,800,650,1400,800,400,,950,1300,700,1000,400,934,1800
orghum Grain,Kg,Retail,700,700,1500,,1700,800,450,,700,800,500,1000,850,500,,1100,1100,750,900,450,878,1700
"",,Wholesale,500,500,1300,,1600,500,400,,600,500,350,900,800,400,,,1000,650,700,350,713,1600
oya Beans,Kg,Retail,2500,1600,1600,1400,1600,1500,1100,1300,1800,1300,1400,1500,,7O00,ino,1400,,900,2500,700,1506,2500
"",,Wholesale,2300,1200,1400,1300,1400,1000,900,1100,1700,1000,1250,1200,,500,,900,,800,2400,500,1272,2400
unflower,Kg,Retail,,,,,,,400,,,,400,,,500,,,,,,400,433,500
"",,Wholesale,,,,,,,370,,,,350,,,4I0g0a,ga,,,,,350,373,400
weet Potatoes,Kg,Retail,350,600,900,700,350,350,450,800,340,1000,350,700,700,600,600,250,1000,150,,150,566,1000
"",,Wholesale,300,400,600,500,300,300,400,650,300,800,300,600,600,500,350,150,900,100,,100,447,900
ea (Unprocessed),Kg,Retail,,,,,4500,,,,,,,,,Jin,a,,,,,4500,4500,4500
"",,Wholesale,,,,,4000,,,,,,,,,,,,,,,4000,4000,4000
urkey,bird,Retail,,27000,30000,,30000,35000,35000,27000,35000,22000,29000,,,30000,,,,,35000,22000,30455,35000
"",,Wholesale,,24000,25000,,25000,25000,28000,24000,33000,18000,27000,,,280M00,ale,,,,,18000,25700,33000
anilla (Unprocessed),Kg,Retail,,3000,,,,,2700,,,,,,,,,,,,4000,2700,3233,4000
